epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,11646.8,1.02596,0.86168,1.18608,0.49312,0.29183,0.28557,0.10589,2.35959,2.83702,2.52931,0.000437158,0.000437158,0.000437158
74,11798.7,1.00644,0.8494,1.17339,0.44657,0.34277,0.2826,0.11152,2.32274,2.75541,2.50088,0.000431661,0.000431661,0.000431661
75,11946.8,0.99918,0.84674,1.16835,0.41481,0.34855,0.27788,0.10954,2.34071,2.74618,2.52398,0.000426163,0.000426163,0.000426163
76,12093.7,0.97415,0.8287,1.15329,0.46742,0.32724,0.28407,0.10994,2.33458,2.71597,2.54131,0.000420665,0.000420665,0.000420665
77,12239.8,1.0304,0.82734,1.19471,0.476,0.32356,0.28127,0.11368,2.3349,2.7178,2.55595,0.000415167,0.000415167,0.000415167
78,12385.4,1.00009,0.82532,1.18299,0.39873,0.32526,0.27811,0.11229,2.35132,2.70777,2.54523,0.000409669,0.000409669,0.000409669
79,12530.9,0.96108,0.81732,1.17391,0.39128,0.33787,0.28583,0.11282,2.35151,2.69059,2.53095,0.000404172,0.000404172,0.000404172
80,12676.1,0.9558,0.80599,1.1516,0.41653,0.34331,0.26903,0.11032,2.32832,2.73421,2.55785,0.000398674,0.000398674,0.000398674
81,12822.6,0.9345,0.77588,1.14024,0.43045,0.35254,0.26771,0.10244,2.34514,2.72314,2.5658,0.000393176,0.000393176,0.000393176
82,12967.6,0.92481,0.77078,1.13134,0.44529,0.31239,0.25637,0.1006,2.3622,2.85732,2.52994,0.000387678,0.000387678,0.000387678
83,13114.5,0.96463,0.78384,1.13657,0.48974,0.29142,0.25659,0.09693,2.35934,2.82925,2.51065,0.00038218,0.00038218,0.00038218
84,13255.6,0.9654,0.78675,1.16031,0.46514,0.30001,0.25811,0.09994,2.36285,2.81591,2.51792,0.000376683,0.000376683,0.000376683
85,13397.1,0.90859,0.74491,1.11468,0.372,0.3563,0.25703,0.09852,2.37521,2.84252,2.53172,0.000371185,0.000371185,0.000371185
86,13538.5,0.93412,0.78447,1.14329,0.39916,0.31608,0.26926,0.10525,2.34062,2.95144,2.53928,0.000365687,0.000365687,0.000365687
87,13679.1,0.92148,0.75333,1.1301,0.39563,0.34872,0.26869,0.11108,2.33869,2.98856,2.55559,0.000360189,0.000360189,0.000360189
88,13820.1,0.93029,0.75697,1.10908,0.44072,0.31792,0.25884,0.10545,2.34662,2.9121,2.56078,0.000354691,0.000354691,0.000354691
89,13962.7,0.89221,0.73851,1.10072,0.44625,0.33674,0.26957,0.10746,2.31842,2.86244,2.55028,0.000349194,0.000349194,0.000349194
90,14105,0.8756,0.71728,1.09904,0.45167,0.30797,0.26046,0.10473,2.29549,2.86272,2.56104,0.000343696,0.000343696,0.000343696
91,14247.5,0.91919,0.75423,1.12334,0.42782,0.32853,0.25865,0.10838,2.30199,2.8739,2.58362,0.000338198,0.000338198,0.000338198
92,14389.4,0.93826,0.74245,1.10195,0.41045,0.31861,0.24984,0.10555,2.32342,2.88945,2.5952,0.0003327,0.0003327,0.0003327
93,14530.7,0.88912,0.71544,1.10465,0.42596,0.31388,0.26418,0.11237,2.31741,2.88783,2.59316,0.000327202,0.000327202,0.000327202
94,14671.3,0.86041,0.71666,1.10222,0.39614,0.3741,0.29398,0.12236,2.29896,2.82494,2.61422,0.000321705,0.000321705,0.000321705
95,14812.1,0.81908,0.65426,1.06566,0.42993,0.34194,0.28326,0.11662,2.32209,2.84796,2.62913,0.000316207,0.000316207,0.000316207
96,14952.4,0.85576,0.69457,1.0937,0.52587,0.30963,0.27892,0.11012,2.35294,2.86206,2.63559,0.000310709,0.000310709,0.000310709
97,15092.7,0.83876,0.67486,1.07856,0.50505,0.32245,0.27794,0.10674,2.34394,2.91734,2.61915,0.000305211,0.000305211,0.000305211
98,15235,0.85401,0.71836,1.0974,0.4799,0.29691,0.27115,0.10576,2.31388,2.90756,2.61801,0.000299713,0.000299713,0.000299713
99,15376.2,0.8051,0.67381,1.08337,0.48473,0.32879,0.27397,0.10814,2.3007,2.83273,2.58695,0.000294216,0.000294216,0.000294216
100,15517.2,0.8416,0.68389,1.07702,0.49447,0.32653,0.28304,0.11543,2.3068,2.82381,2.59055,0.000288718,0.000288718,0.000288718
101,15658.6,0.83476,0.6678,1.07774,0.43445,0.33344,0.26733,0.11134,2.31792,2.82,2.59788,0.00028322,0.00028322,0.00028322
102,15799.7,0.8261,0.67114,1.07366,0.46639,0.31964,0.26995,0.11665,2.32446,2.82601,2.61689,0.000277722,0.000277722,0.000277722
103,15941.3,0.81845,0.66349,1.08644,0.45305,0.33336,0.28761,0.11566,2.34175,2.88442,2.63337,0.000272224,0.000272224,0.000272224
104,16083,0.83703,0.6409,1.0682,0.4306,0.32436,0.28696,0.11604,2.34065,2.91096,2.60997,0.000266727,0.000266727,0.000266727
105,16223.2,0.84178,0.6506,1.08643,0.39149,0.34487,0.28038,0.11579,2.32269,2.97768,2.58023,0.000261229,0.000261229,0.000261229
106,16364,0.81378,0.65664,1.05008,0.44302,0.30415,0.27201,0.11198,2.32562,3.02605,2.60169,0.000255731,0.000255731,0.000255731
107,16505.6,0.80714,0.64612,1.07866,0.44615,0.30283,0.26303,0.1129,2.33494,3.03137,2.60541,0.000250233,0.000250233,0.000250233
108,16646.6,0.79085,0.65021,1.05557,0.4307,0.34666,0.27514,0.1136,2.33094,2.93855,2.60525,0.000244735,0.000244735,0.000244735
109,16787.3,0.79125,0.63199,1.05786,0.42999,0.34641,0.2816,0.11672,2.32646,2.89875,2.60444,0.000239238,0.000239238,0.000239238
110,16926.7,0.78334,0.6684,1.06281,0.50025,0.31625,0.28121,0.11434,2.3092,2.88169,2.57668,0.00023374,0.00023374,0.00023374
111,17066.4,0.77476,0.627,1.04236,0.46944,0.31837,0.26795,0.10615,2.342,2.94887,2.59697,0.000228242,0.000228242,0.000228242
112,17206.3,0.74832,0.61782,1.03263,0.47287,0.31536,0.26882,0.10551,2.35674,2.92026,2.62748,0.000222744,0.000222744,0.000222744
113,17345.7,0.76045,0.61103,1.05082,0.47165,0.30765,0.26338,0.1035,2.36791,2.9057,2.64527,0.000217246,0.000217246,0.000217246
114,17485.3,0.74217,0.59898,1.03309,0.42004,0.32576,0.26456,0.1061,2.36815,2.96347,2.64783,0.000211749,0.000211749,0.000211749
115,17628,0.76696,0.61834,1.03321,0.46541,0.31775,0.26728,0.10929,2.35575,2.94183,2.66645,0.000206251,0.000206251,0.000206251
116,17769,0.77871,0.61411,1.05478,0.48726,0.33724,0.27606,0.10987,2.34658,2.91727,2.67279,0.000200753,0.000200753,0.000200753
117,17910,0.75932,0.60223,1.03394,0.5006,0.3271,0.27932,0.11218,2.34218,2.91366,2.64461,0.000195255,0.000195255,0.000195255
118,18051.3,0.73299,0.5881,1.0272,0.48253,0.34656,0.28089,0.11402,2.34981,2.89163,2.64671,0.000189757,0.000189757,0.000189757
119,18191.8,0.71576,0.58325,1.02628,0.49426,0.35328,0.28434,0.11714,2.33467,2.89029,2.63644,0.00018426,0.00018426,0.00018426
120,18331.8,0.74165,0.59385,1.0295,0.53197,0.33258,0.28927,0.12115,2.31966,2.891,2.62244,0.000178762,0.000178762,0.000178762
121,18471.3,0.72267,0.58341,1.01781,0.48909,0.34334,0.28442,0.11711,2.34131,2.89885,2.63514,0.000173264,0.000173264,0.000173264
122,18610.6,0.70651,0.56754,1.01546,0.47037,0.35513,0.28885,0.11769,2.34072,2.88451,2.64578,0.000167766,0.000167766,0.000167766
123,18750.5,0.70216,0.57786,1.01442,0.47764,0.36483,0.29514,0.11709,2.33301,2.90546,2.63984,0.000162268,0.000162268,0.000162268
124,18890.3,0.71346,0.5885,1.02073,0.45967,0.34345,0.28964,0.11521,2.33547,2.94226,2.65148,0.000156771,0.000156771,0.000156771
125,19030.4,0.69326,0.5464,1.00887,0.45933,0.32921,0.28929,0.11521,2.30822,2.97216,2.63035,0.000151273,0.000151273,0.000151273
